Date,Route,Bus,Planned Start Time,Planned Anchor Time,Anchor Time Converted,ActualArrivalTime,Arrival Delay,AM/PM,Time Tier,Type of Bus,% Off Route,Departure Delay,Departed on Time?,School,Yard,Tier Breakdown,Monitor Issue,Monitor?,CR?,DtD,Total Rider,Average Speed,Trip Length,Trip Distance,Average actual speed,Departed on time?,Driver
10/4/2017,592451,MS134,6:30,7:50,470,7:54,4,AM,8:30,M,34,-6,1,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,8.48,0,1538
10/5/2017,592451,MS134,6:30,7:50,470,7:52,2,AM,8:30,M,33,8,0,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,10.3135,0,1538
10/6/2017,592451,MS134,6:30,7:50,470,8:04,14,AM,8:30,M,52,8,0,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,8.8744,0,1538
10/10/2017,592451,MS134,6:30,7:50,470,7:50,0,AM,8:30,M,,7,0,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,10.4548,0,1538
10/11/2017,592451,MS134,6:30,7:50,470,7:50,0,AM,8:30,M,,8,0,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,10.6,0,1538
10/12/2017,592451,MS134,6:30,7:50,470,7:50,0,AM,8:30,M,,7,0,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,10.4548,0,1538
10/16/2017,592451,MS134,6:30,7:50,470,7:52,2,AM,8:30,M,,16,0,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,11.5636,0,1538
10/17/2017,592451,MS134,6:30,7:50,470,7:50,0,AM,8:30,M,,-5,1,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,8.9788,0,1538
10/19/2017,592451,MS134,6:38,7:50,470,7:48,-2,AM,8:30,M,,-9,1,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,9.6608,0,1538
10/2/2017,592451,MS134,6:36,7:50,470,7:28,-22,AM,8:30,M,65,-5,1,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,13.3895,1,1538
10/20/2017,592451,MS134,6:38,7:50,470,7:52,2,AM,8:30,M,,0,1,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,10.3135,0,1538
10/23/2017,592451,MS134,6:38,7:50,470,7:54,4,AM,8:30,M,,-5,1,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,9.4222,0,1538
10/24/2017,592451,MS134,6:38,7:50,470,7:51,1,AM,8:30,M,,2,0,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,10.7493,0,1538
10/3/2017,592451,MS134,6:36,7:50,470,7:56,6,AM,8:30,M,57,21,0,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,12.9356,1,1538
10/25/2017,592451,MS134,6:38,7:50,470,8:04,14,AM,8:30,M,,,,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,,0,1538
10/26/2017,592451,MS134,6:38,7:50,470,7:42,-8,AM,8:30,M,,,,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,,0,1538
10/27/2017,592451,MS134,6:38,7:50,470,7:44,-6,AM,8:30,M,,,,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,,0,1538
10/30/2017,592451,MS134,6:38,7:50,470,7:38,-12,AM,8:30,M,,,,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,,0,1538
10/31/2017,592451,MS134,6:38,7:50,470,7:40,-10,AM,8:30,M,,,,Bay Cove HS,WAS,830-930,,0,0,5,4,11.8295,64:31:00,12.72,,0,1538
10/17/2017,592452,MS135,6:31,7:51,471,7:51,1,AM,8:30,M,,-10,1,,WAS,730-930,,0,,,,,,,,1,1138
10/17/2017,592453,MS136,6:32,7:52,472,7:52,2,AM,8:30,M,,-15,1,,WAS,730-830-930,,0,,,,,,,,1,1299
10/17/2017,592454,MS137,6:33,7:53,473,7:53,3,AM,8:30,M,,13,0,,WAS,830-930,,1,,,,,,,,,2107
10/17/2017,592455,MS138,6:34,7:54,474,7:54,4,AM,8:30,M,,4,0,,WAS,730-930,,1,,,,,,,,0,1462
10/17/2017,592456,MS139,6:35,7:55,475,7:55,5,AM,8:30,M,,-12,1,,WAS,730-830-930,,0,,,,,,,,1,
10/17/2017,592457,MS140,6:36,7:56,476,7:56,6,AM,8:30,M,,-8,1,,WAS,730-830-930,,1,,,,,,,,0,1672
10/17/2017,592458,MS141,6:37,7:57,477,7:57,7,AM,8:30,M,,-3,1,,WAS,730-830-930,,1,,,,,,,,1,1417
10/17/2017,592459,MS142,6:38,7:58,478,7:58,8,AM,8:30,M,,1,0,,WAS,730-930,,1,,,,,,,,1,1872
10/17/2017,592460,MS143,6:39,7:59,479,7:59,9,AM,8:30,M,,0,1,,WAS,830,,1,,,,,,,,1,1433
10/17/2017,592461,MS144,6:40,0.333333333,480,0.333333333,10,AM,8:30,M,,23,0,,WAS,730-930,,0,,,,,,,,,1617
10/17/2017,592462,MS145,6:41,0.334027778,481,0.334027778,11,AM,8:30,M,,2,0,,WAS,730-930,,0,,,,,,,,1,1694
10/17/2017,592463,MS146,6:42,0.334722222,482,0.334722222,12,AM,8:30,M,,,,,WAS,730-930,,1,,,,,,,,0,1489
10/17/2017,592464,MS147,6:43,0.335416667,483,0.335416667,13,AM,8:30,M,,-5,1,,WAS,730-930,,0,,,,,,,,0,1871
10/17/2017,592465,MS148,6:44,0.336111111,484,0.336111111,14,AM,8:30,M,,,,,WAS,830,,1,,,,,,,,0,1736
10/17/2017,592466,MS149,6:45,0.336805556,485,0.336805556,15,AM,8:30,M,,,,,WAS,830,,0,,,,,,,,1,1628
10/17/2017,592467,MS150,6:46,0.3375,486,0.3375,16,AM,8:30,M,,11,0,,WAS,830,,1,,,,,,,,1,1225
10/17/2017,592468,MS151,6:47,0.338194444,487,0.338194444,17,AM,8:30,M,,,,,WAS,830-930,,0,,,,,,,,0,1747
10/17/2017,592469,MS152,6:48,0.338888889,488,0.338888889,18,AM,8:30,M,,,,,WAS,730-830-930,,1,,,,,,,,1,1739
10/17/2017,592470,MS153,6:49,0.339583333,489,0.339583333,19,AM,8:30,M,,-6,1,,WAS,830-930,,0,,,,,,,,1,1671
10/17/2017,592471,MS154,6:50,0.340277778,490,0.340277778,20,AM,8:30,M,,-6,1,,WAS,730-930,,1,,,,,,,,0,1510
